n_estimators,max_depth,min_samples_leaf,train_mse,train_r2,val_mse,val_r2
10,3.0,5,1127.692154487164,0.17872114133256023,722.2505485299716,-0.0701322825544346
10,5.0,5,1024.5595568561685,0.2538308436895048,725.9663315211349,-0.07563782262207974
10,3.0,10,1158.695139850445,0.15614219872564106,736.6946533946256,-0.09153358566140812
25,3.0,10,1130.277561984417,0.1768382333863755,740.6866999040417,-0.09744845530308566
10,5.0,10,1060.909963391822,0.22735746593928408,743.10399231187,-0.10103006925582814
10,5.0,50,1195.8306330675105,0.12909705580786157,744.0342885986454,-0.10240845531707099
50,3.0,10,1135.0313803900888,0.1733761089590774,744.1277086892377,-0.10254687245636651
75,3.0,10,1126.5165192430409,0.1795773363212908,745.9935030864457,-0.10531135193114882
10,3.0,20,1205.9691366357383,0.12171335751220702,747.1441957489526,-0.10701629125996415
25,5.0,10,1005.1196988146427,0.2679885589502462,748.8779120228253,-0.10958507539898266
100,3.0,10,1131.3724562160721,0.17604084069249415,749.5584415816969,-0.11059339121357525
10,,50,1178.8093576923634,0.14149335878606417,750.3143158424438,-0.11171334252357923
10,10.0,50,1178.8093576923634,0.14149335878606417,750.3143158424438,-0.11171334252357923
10,15.0,50,1178.8093576923634,0.14149335878606417,750.3143158424438,-0.11171334252357923
75,5.0,10,1009.3614334970832,0.2648993763174654,752.0700237223857,-0.11431471082282818
100,5.0,10,1010.5455920614529,0.26403697394075565,752.3252845646226,-0.11469292149820354
25,10.0,10,780.9248332119511,0.43126583511877026,752.3302327445824,-0.11470025303588893
10,3.0,50,1240.355542756104,0.09667032758614369,752.5013616098637,-0.11495380843101755
50,5.0,10,1010.1392844169595,0.26433288083095574,752.7730587653417,-0.11535637219195483
50,3.0,5,1098.7856669384478,0.1997732405314685,753.2479580740796,-0.11606001316845216
50,5.0,5,998.3703690059598,0.2729039801137162,753.5777343980037,-0.1165486307139445
25,3.0,20,1182.2820401651722,0.1389642636900006,756.020663217538,-0.12016822920242909
100,3.0,5,1089.187111499997,0.2067637038631318,758.4372232069151,-0.12374875795747853
75,3.0,5,1093.658545302707,0.20350723529989467,758.7644315161272,-0.12423357056928008
10,10.0,10,829.3030254284052,0.3960328273073501,760.4245857215325,-0.12669336047575896
75,10.0,10,777.3467094282339,0.4338717213134814,761.0943223179256,-0.12768568475168673
100,5.0,5,982.9969973183254,0.28410014309423504,761.6070142359015,-0.12844532165822464
100,10.0,10,777.9896192825025,0.4334035010911106,762.0165865809378,-0.12905217005641134
75,5.0,5,987.5426051100291,0.2807896548867348,762.4286617157137,-0.12966272674682755
50,10.0,10,778.4736455028013,0.4330509930948544,764.7786207227429,-0.1331445752566276
25,15.0,10,733.162093707058,0.4660506192740238,765.4029989322701,-0.1340696936658814
75,3.0,20,1175.8511100660485,0.14364779980485487,765.7885835402006,-0.13464100030932014
50,3.0,20,1174.1885618442761,0.14485860516571836,766.0110305006322,-0.13497059185341587
100,3.0,20,1179.0244681842917,0.14133669750346578,766.0193582487566,-0.1349829307739292
25,5.0,50,1177.7764449307517,0.14224561143815906,766.22897253957,-0.13529350861972045
25,,10,730.6656794078801,0.46786871500008864,766.7132360414026,-0.136011024179423
10,5.0,20,1109.603271100618,0.19189496491833036,766.9470927808587,-0.13635752117675226
75,15.0,10,722.4599459410549,0.4738448099736571,767.8978999511005,-0.13776629746557734
100,,10,721.5897929072453,0.47447852750696584,768.0227546126833,-0.13795129006164952
75,,10,720.1733197520495,0.475510120616489,768.0878396937543,-0.13804772425129253
100,15.0,10,723.5481042869451,0.47305232290987276,768.2325643252549,-0.1382621574567291
10,10.0,5,744.8098994669749,0.45756772207338237,768.3429987751127,-0.1384257841512877
25,15.0,50,1165.5935255870672,0.15111822268583497,769.3505052276807,-0.13991856969775673
25,10.0,50,1165.5935255870672,0.15111822268583497,769.3505052276807,-0.13991856969775673
25,,50,1165.5935255870672,0.15111822268583497,769.3505052276807,-0.13991856969775673
25,5.0,5,1008.6262587438923,0.26543479148358073,769.7991354193963,-0.1405832886821321
25,3.0,5,1113.1498246731578,0.18931207076706003,770.0491689579733,-0.14095375425242085
50,,10,727.287371835074,0.47032907847480254,770.6883297298999,-0.14190077544496038
50,15.0,10,729.7349865336066,0.46854652266108177,770.8016621404389,-0.14206869594211224
